                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
44,1.1499,0.57454,1.6651,0.99739,0.99333,0.99484,0.59749,1.4024,0.52723,1.8103,0.0011486,0.0011486,0.0011486
45,1.1394,0.56806,1.6733,0.99864,0.99867,0.995,0.61594,1.3857,0.52188,1.8307,0.0011288,0.0011288,0.0011288
46,1.1218,0.5538,1.6585,0.99544,0.99067,0.99458,0.61095,1.4545,0.51042,1.8796,0.001109,0.001109,0.001109
47,1.131,0.55485,1.6589,0.99865,0.98477,0.9943,0.57834,1.4668,0.52635,1.8711,0.0010892,0.0010892,0.0010892
48,1.1239,0.55259,1.6455,0.9968,0.996,0.9948,0.61051,1.4411,0.5084,1.8835,0.0010694,0.0010694,0.0010694
49,1.112,0.54205,1.6405,0.99467,0.9948,0.9948,0.62349,1.3827,0.50201,1.7826,0.0010496,0.0010496,0.0010496
50,1.1176,0.53722,1.6293,0.99805,0.992,0.99436,0.62589,1.4164,0.50172,1.8606,0.0010298,0.0010298,0.0010298
51,1.111,0.55659,1.6308,0.99576,0.99467,0.995,0.60409,1.4182,0.49555,1.8522,0.00101,0.00101,0.00101
52,1.1061,0.53668,1.6288,0.99733,0.99461,0.99478,0.60286,1.4125,0.49042,1.8005,0.0009902,0.0009902,0.0009902
53,1.0823,0.53952,1.6211,0.99733,0.99693,0.995,0.63166,1.397,0.4899,1.819,0.0009704,0.0009704,0.0009704
54,1.0976,0.53349,1.6328,0.99448,0.996,0.99424,0.6466,1.3786,0.4873,1.7975,0.0009506,0.0009506,0.0009506
55,1.1092,0.54049,1.6386,0.99315,0.99867,0.99499,0.6288,1.3403,0.4727,1.7779,0.0009308,0.0009308,0.0009308
56,1.0961,0.52782,1.6087,0.99733,0.99649,0.99444,0.61483,1.4846,0.48941,1.9196,0.000911,0.000911,0.000911
57,1.0742,0.52944,1.5953,0.99866,0.99458,0.99468,0.65721,1.3106,0.46153,1.7259,0.0008912,0.0008912,0.0008912
58,1.1009,0.53272,1.6247,0.996,0.99593,0.99499,0.62761,1.3664,0.50211,1.7625,0.0008714,0.0008714,0.0008714
59,1.0725,0.51825,1.6189,0.99418,0.996,0.99495,0.63486,1.3581,0.46559,1.7631,0.0008516,0.0008516,0.0008516
60,1.0779,0.51119,1.6072,0.99994,0.996,0.995,0.64285,1.3896,0.46928,1.8131,0.0008318,0.0008318,0.0008318
61,1.072,0.51476,1.6107,0.99733,0.99636,0.995,0.67125,1.3102,0.45023,1.7182,0.000812,0.000812,0.000812
62,1.0642,0.49857,1.5951,0.99733,0.99515,0.99488,0.63179,1.394,0.47442,1.829,0.0007922,0.0007922,0.0007922
63,1.0625,0.50293,1.5845,0.99866,0.99732,0.995,0.63657,1.3752,0.46305,1.8085,0.0007724,0.0007724,0.0007724
64,1.0448,0.49956,1.5674,0.99599,0.99237,0.99493,0.62243,1.4099,0.48018,1.8457,0.0007526,0.0007526,0.0007526
65,1.0562,0.49285,1.5904,1,0.99694,0.995,0.63396,1.393,0.47626,1.8187,0.0007328,0.0007328,0.0007328
66,1.052,0.49497,1.5798,0.99991,0.99733,0.995,0.64254,1.3224,0.45051,1.733,0.000713,0.000713,0.000713
67,1.0407,0.49569,1.5681,0.9952,0.99467,0.99489,0.63311,1.3741,0.46727,1.8146,0.0006932,0.0006932,0.0006932
68,1.0375,0.49358,1.5634,0.99417,0.99733,0.99499,0.62735,1.4164,0.48137,1.8616,0.0006734,0.0006734,0.0006734
69,1.0461,0.50082,1.5667,0.99675,0.99333,0.99454,0.62745,1.3576,0.46818,1.8031,0.0006536,0.0006536,0.0006536
70,1.0418,0.49489,1.5691,0.99705,0.99733,0.99491,0.63849,1.3373,0.4649,1.7331,0.0006338,0.0006338,0.0006338
71,1.0345,0.49188,1.5643,0.99711,0.99733,0.99489,0.63731,1.3718,0.46056,1.8059,0.000614,0.000614,0.000614
72,1.0212,0.49024,1.5586,0.99525,0.99867,0.99483,0.61355,1.3903,0.46769,1.8285,0.0005942,0.0005942,0.0005942
73,1.0229,0.4904,1.5557,0.9979,0.99467,0.99495,0.62669,1.3681,0.45007,1.7707,0.0005744,0.0005744,0.0005744
74,1.0153,0.47333,1.5493,0.99601,0.99826,0.994,0.63984,1.3414,0.44959,1.768,0.0005546,0.0005546,0.0005546
75,0.99779,0.47447,1.5424,0.99867,0.99856,0.995,0.65727,1.3355,0.45412,1.7395,0.0005348,0.0005348,0.0005348
76,1.0237,0.47485,1.549,0.99641,0.99867,0.995,0.63917,1.3473,0.44821,1.7612,0.000515,0.000515,0.000515
77,0.99802,0.47052,1.5277,0.99751,0.996,0.995,0.63947,1.3632,0.46111,1.8503,0.0004952,0.0004952,0.0004952
78,1.0172,0.48505,1.55,0.99974,0.99733,0.995,0.65009,1.3267,0.43796,1.7469,0.0004754,0.0004754,0.0004754
79,0.98384,0.46468,1.526,1,0.99423,0.995,0.63438,1.3687,0.45269,1.8136,0.0004556,0.0004556,0.0004556
80,0.99168,0.46533,1.5415,0.99601,0.99808,0.99443,0.61928,1.4059,0.46727,1.8689,0.0004358,0.0004358,0.0004358
81,1.0051,0.46504,1.5501,0.9997,1,0.995,0.63482,1.3914,0.44401,1.826,0.000416,0.000416,0.000416
82,0.99725,0.46521,1.5333,1,0.99832,0.995,0.64142,1.3548,0.44832,1.8084,0.0003962,0.0003962,0.0003962
83,0.98597,0.45492,1.5296,0.99996,0.99867,0.995,0.64785,1.3415,0.44541,1.7895,0.0003764,0.0003764,0.0003764
84,0.97976,0.45652,1.5173,0.9998,0.99867,0.995,0.63603,1.3965,0.44272,1.8593,0.0003566,0.0003566,0.0003566
85,0.97597,0.45317,1.5126,0.99992,0.99733,0.995,0.62948,1.344,0.43982,1.7999,0.0003368,0.0003368,0.0003368
86,0.9748,0.45218,1.5189,0.99978,0.99733,0.995,0.63135,1.3297,0.43808,1.7857,0.000317,0.000317,0.000317
87,0.97144,0.44686,1.5128,0.99813,0.99867,0.995,0.62645,1.3584,0.44776,1.8064,0.0002972,0.0002972,0.0002972
88,0.97029,0.4563,1.518,1,0.99813,0.995,0.63351,1.3911,0.44687,1.8413,0.0002774,0.0002774,0.0002774
89,0.96766,0.45178,1.4996,1,0.99702,0.995,0.63639,1.3756,0.44063,1.8314,0.0002576,0.0002576,0.0002576
90,0.97418,0.45388,1.5084,1,0.99989,0.995,0.63935,1.341,0.42712,1.7973,0.0002378,0.0002378,0.0002378
91,0.96271,0.44786,1.5044,1,0.99936,0.995,0.62603,1.4066,0.44105,1.8888,0.000218,0.000218,0.000218
92,0.94604,0.43162,1.4876,0.99979,1,0.995,0.6368,1.3609,0.43226,1.8271,0.0001982,0.0001982,0.0001982
93,0.94852,0.44425,1.4855,0.9996,0.99867,0.995,0.62179,1.407,0.45146,1.8787,0.0001784,0.0001784,0.0001784
94,0.94525,0.44757,1.48,1,0.9997,0.995,0.62035,1.4145,0.44679,1.8963,0.0001586,0.0001586,0.0001586
95,0.94318,0.43885,1.4883,0.99979,0.99733,0.995,0.62903,1.4034,0.44471,1.867,0.0001388,0.0001388,0.0001388
96,0.94484,0.43301,1.485,0.99959,0.99867,0.995,0.62704,1.3918,0.44178,1.8333,0.000119,0.000119,0.000119
97,0.9485,0.43867,1.4824,0.99973,0.99867,0.995,0.62665,1.3756,0.43573,1.8335,               9.92e-05,               9.92e-05,               9.92e-05
98,0.94638,0.42776,1.4812,1,0.99733,0.995,0.62865,1.3795,0.43434,1.8345,               7.94e-05,               7.94e-05,               7.94e-05
99,0.93729,0.43538,1.4793,0.99989,0.99867,0.995,0.62136,1.4088,0.43978,1.8739,               5.96e-05,               5.96e-05,               5.96e-05
